,name,id,lat,lng,userscount,visitscount,checkinscount,tipcount,zipcode
79,Empire Noodle House,4a726f62f964a52011db1fe3,40.84260363150912,-73.93960421909834,685,1464,980,11,10032
80,Jade House,55b3da56498e35bfde50da0e,40.838601090683824,-73.93737419138682,44,91,11,0,10032
81,City One Chinese Restaurant,4dd5c9448877f1150fc23d52,40.82268804370475,-73.94210414664701,102,333,308,2,10030
82,Jade Garden Chinese Restaurant,5270399211d218703bf55f83,40.84192289321093,-73.93925666872532,103,300,246,3,10032
83,New Golden Empire,4b1f0394f964a520e22224e3,40.82606357103899,-73.94327792963422,136,482,421,10,10031
84,First Choice Chinese Restaurant,4be727362468c928ca290243,40.837714063687,-73.94224186826041,80,171,146,2,10032
85,Silver Palace Chinese Restaurant,4e4cd2babd413c4cc66c7241,40.83600551281902,-73.94334179910396,251,543,210,2,10032
86,Fu On Kitchen,4d4c38fb64faba7a9975f28a,40.81931562023554,-73.94082675442002,31,134,130,1,10030
87,Jing Hui,4b80962bf964a520f97e30e3,40.82476274101123,-73.94045340615348,122,287,204,9,10039
88,new lucky star kitchen,52a010ba11d285144d71428f,40.840794510899705,-73.93629497376187,3,3,3,0,
89,Splendid China Restaurant,4dcc827952b1648798ff17f5,40.83628406737483,-73.94007220915071,17,71,71,0,10032
90,Number 1 Chinese Food,515b3a43e4b0103638560c5b,40.836226,-73.943182,10,17,17,0,
91,King's Chef Chinese Restaurant,4e4e4d31bd4101d0d7a734a7,40.81849707740691,-73.93946372331968,18,78,78,0,10037
92,New Fuon Kitchen,4e4e4d33bd4101d0d7a734c9,40.81940551096171,-73.94116288651622,3,3,3,0,10030
93,China Sun,4c80650ed4e237043daf5488,40.84443167,-73.9371269,26,86,82,1,10033
94,New Luck Garden,4b908f2cf964a520fd8f33e3,40.83275177152507,-73.94209588912703,247,495,124,2,10032
95,Ho Lee Restaurant,4b4e065ef964a520a5de26e3,40.82118687981364,-73.93943502111064,35,78,75,1,10030
96,Number 1 Restaurant,4df2b248e4cda09e6da0bb9d,40.836345177964446,-73.94291943820092,17,47,47,2,10032
97,King House,4ccc94697c2ff04df3429a7e,40.836651742758555,-73.94014109421869,37,107,100,1,10032
98,Yong Sheng Restaurant,4e4e4d37bd4101d0d7a7354a,40.826361926456094,-73.93893560199236,14,23,19,1,10039
99,Red Star Restaurant,4dffd71dd22d5ec6f27691c1,40.822619975670015,-73.93870024311093,33,80,74,2,10039
100,New Wok Hop Co.,51f6a36c498e6f23dd09ae2e,40.82890940198825,-73.93747752041864,3,6,6,0,10039
101,Yang Fan Restaurant,4cacb65944a8224b66ee3540,40.831183649844334,-73.9414499058546,19,58,58,0,10032
102,Jing Bin Seafood,51a0ef8a498efbc52aabc2a0,40.843483,-73.939291,0,0,0,0,10002
103,Hong Garden,4e4e4d34bd4101d0d7a734ea,40.82234614341669,-73.93913077743322,40,98,85,2,10039
104,Hua Yung Kitchen,4da4d9d9cda109f02fb1b51f,40.84583779428026,-73.93841896017027,32,60,60,0,10033
105,Chinese Fried Chicken,4e1bbf0b6284102ec197217c,40.831564382850914,-73.93012380014538,14,31,26,3,10452
106,Lucky Star Chinese Restaurant,4d8f6562c1b1721ea14b4546,40.84057,-73.93646,25,93,83,1,10032
107,Excellent Dumpling House,5898c42832b07235680f373c,40.7440310817379,-73.99516009292122,1033,1360,675,11,10011
108,Calle Dão,53f29ab9498e248b534f7759,40.75239396102473,-73.98413520228499,3580,4869,2225,42,10018
109,Hakkasan,4ea832fe8b8154b19ffa31ad,40.75822103861813,-73.99015090774017,8220,11443,8365,148,10036
110,Dong Chun Hong,4ee279ecc2eee7f3576fd40e,40.74702108811758,-73.9855752913469,2969,6027,4972,35,10001
111,Chop Shop,4fcea172e4b071a2c8809ed2,40.74880956654446,-74.00341006658152,3567,5500,3455,38,10001
112,China Xiang,56f85fba498ed90422c0e8f5,40.75823445243313,-73.99244142800832,380,547,359,4,10036
113,Ollie's Sichuan Restaurant,4aa707ccf964a520d84b20e3,40.75869555247971,-73.99322083968677,4298,6336,4344,53,10036
114,Lan Sheng Szechuan Restaurant 草堂小餐,57dddade498eaf06318e5a86,40.75168933480759,-73.98815637133109,486,706,286,4,10018
115,Main Noodle House,4a3fcc65f964a520f2a31fe3,40.75204369049894,-73.98613800616226,2433,4839,3956,48,10018
116,Grand Sichuan International,49c81307f964a520f1571fe3,40.74725197392034,-74.00094538087599,4805,8117,5954,107,10001
117,Savour Sichuan,54db9021498ee7bd148d3d06,40.75315799135671,-73.9860598167793,495,736,487,9,10018
118,Ginger's,4ae7264af964a520e2a821e3,40.75317836771786,-73.9890789165319,3115,6112,5496,77,10018
119,Panda Express,5800f6fe38faa8d30d961a70,40.7502659973641,-73.99475638254314,211,338,288,1,10001
120,New Epicurean Chinese Restaurant,4f32819e19836c91c7de7360,40.745172,-73.984819,12,36,36,0,10002
121,Hyo Dong Gak,49ebe710f964a52044671fe3,40.75013168829856,-73.98632563528624,2395,4430,4174,35,10001
122,Golden City,4b0980eff964a520611823e3,40.75337989525288,-73.99645332512665,393,1339,1194,12,10001
123,Zest Szechuan,56e067e2498ee4f64c6605b3,40.752657675388065,-73.98468550354744,291,422,376,7,10018
124,Ming's Chinese Food Express,4f325e2019836c91c7d0deb5,40.754301,-73.988741,9,33,33,0,10018
125,Bao By Kaya @ Broadway Bites,593885b3a6ec98688a5a6252,40.748635,-73.988302,71,81,78,2,10001
126,La Vie En Szechuan,4fe4d63de4b00ca0cf81f604,40.747478998882734,-73.98440087625113,1511,2629,2451,43,10016
127,Jian Bing Man,56e4af39498e3f5a80a875d9,40.74761866341857,-73.98629486560822,137,168,168,6,10001
128,Bao by Kaya,566b1c17498e5da2a93bcd81,40.74913061186404,-73.98812505394727,62,69,69,1,10010
129,Ming's Restaurant,4bb0e0e0f964a520e4653ce3,40.75289959873118,-73.9967027435105,215,628,564,4,10001
130,Chinese Culinary Competition,4ca4b82bf832a1cdc266a8e5,40.75884,-73.985102,6,10,10,0,10001
131,New Li Yuan Restaurant & Bakery,4a7b0519f964a520d1e91fe3,40.75448836700365,-73.9910519179946,270,890,818,16,10018
