,competitors
0,1
1,1
2,1
3,1
4,0
5,3
6,2
7,0
8,9
9,2
10,3
11,1
12,0
13,3
14,0
15,3
16,0
17,3
18,2
19,0
20,0
21,1
22,0
23,3
24,3
25,0
26,4
27,2
28,1
29,2
30,0
31,0
32,2
33,0
34,0
35,1
36,0
37,0
38,4
39,5
40,2
41,2
42,2
43,2
44,3
45,0
46,1
47,9
48,0
49,0
50,1
51,1
52,1
53,2
54,3
55,0
56,3
57,1
58,1
59,1
60,0
61,1
62,6
63,0
64,0
65,1
66,0
67,0
68,2
69,0
70,1
71,0
72,0
73,1
74,0
75,1
76,0
77,1
78,0
79,0
80,2
81,5
82,4
83,5
84,0
85,6
86,0
87,4
88,0
89,1
90,51
91,0
92,0
93,0
94,1
95,3
96,1
97,2
98,0
99,1
