,neighborhood,lat,lng,subway,competitors,rating,review_count,price,unsupervised_score
0,0,40.92885809875,-74.122525682,0,1,0.0,0.0,0.0,0.0049035265215580425
1,1,40.743241631102144,-73.98686944081183,63,9,3.5,191.9795918367347,1.6122448979591837,0.002917136521509623
2,2,40.67228961105042,-73.7310129395378,0,7,0.0,0.0,0.0,0.010291645149908787
3,3,40.839871257491104,-73.93504603033806,80,5,3.5416666666666665,60.333333333333336,1.0833333333333333,0.002597784576794268
4,4,40.71410119777778,-74.08783270430554,0,4,0.0,0.0,0.0,0.006114068632486747
5,5,40.74649286563002,-73.89038123501341,33,12,3.814814814814815,81.25925925925925,1.1481481481481481,0.006816207105659986
6,6,40.63491754576119,-73.96509026761193,45,3,0.0,0.0,0.0,0.002812584761177728
7,7,40.837458864344825,-73.81337058289655,8,1,0.0,0.0,0.0,0.011527054932816071
8,8,40.75939133961538,-74.21767033315383,0,1,0.0,0.0,0.0,0.03149182247336906
9,9,40.7192038700991,-73.99247871168468,38,65,3.643478260869565,257.31304347826085,1.291304347826087,0.011334991460955408
10,10,40.79346803595238,-74.05989030528572,0,0,0.0,0.0,0.0,0.003044420317555267
11,11,40.958559654977385,-74.07356100072398,0,0,0.0,0.0,0.0,0.0025463354393157212
12,12,40.73060902241861,-73.79996156869767,0,0,0.0,0.0,0.0,0.028101344290337026
13,13,40.63877187096345,-74.00348651551495,38,12,0.0,0.0,0.0,0.0069863333649677825
14,14,40.614812785792076,-74.15125596460395,13,2,0.0,0.0,0.0,0.004853195739283253
15,15,40.77844809194156,-73.95301565938738,30,12,3.40625,113.5625,1.4375,0.0034499089162063736
16,16,40.87249574,-74.1586874281818,0,0,0.0,0.0,0.0,0.004583053123454948
17,17,40.858271894093406,-73.89291229596154,46,6,0.0,0.0,0.0,0.00654240675570058
18,18,40.75877611625,-73.74559984826391,0,1,0.0,0.0,0.0,0.0316956348851338
19,19,40.89812108059881,-73.98617233023954,0,0,0.0,0.0,0.0,0.0020031843231718377
20,20,40.670971754758355,-73.9129529398513,48,3,4.0,6.0,1.0,0.006717551071954602
21,21,40.8763613016959,-73.83072369538013,5,1,0.0,0.0,0.0,0.006165623128796926
22,22,40.7689507575146,-73.98205530937446,53,6,3.3833333333333333,379.8,1.8333333333333333,0.003328949381635611
23,23,40.87507147237569,-74.07018085729281,0,0,0.0,0.0,0.0,0.003087077956907765
24,24,40.743867207081536,-74.15446796437769,0,2,0.0,0.0,0.0,0.0058632182976872315
25,25,40.68783549980057,-73.9476851931054,29,5,4.0,18.125,0.875,0.002755967143383793
26,26,40.74552066390192,-74.03209661373134,0,8,3.6,66.6,1.1333333333333333,0.003572522647961212
27,27,40.6734500563492,-73.83283431910053,23,3,0.0,0.0,0.0,0.003157098772419313
28,28,40.71740927274029,-73.95416082472394,49,8,3.7666666666666666,95.4,1.4333333333333333,0.009712717255208655
29,29,40.811785725615756,-73.95903952183906,42,7,3.5,77.5,1.4210526315789473,0.002463870579378964
30,30,40.776006355562906,-74.02553203579471,0,2,3.5588235294117645,29.88235294117647,0.9411764705882353,0.005711663478644092
31,31,40.58196265692683,-73.97836711585366,33,2,0.0,0.0,0.0,0.0319475256830602
32,32,40.79309709061538,-74.1415306634359,0,1,0.0,0.0,0.0,0.002395729248627889
33,33,40.85554591,-73.97688006693396,0,3,3.8125,70.25,1.625,0.0018517913552485226
34,34,40.796276948130846,-73.71111143046728,0,0,0.0,0.0,0.0,0.0030382097823223346
35,35,40.78185305150685,-73.81301575392695,0,0,0.0,0.0,0.0,0.002748853259429261
36,36,40.66191969571429,-74.21836697928572,0,0,0.0,0.0,0.0,0.0019230403441882645
37,37,40.76087457720868,-73.9654166698916,37,10,3.3714285714285714,193.68571428571428,1.7142857142857142,0.0036361285651714866
38,38,40.74226608840628,-74.00200932451693,51,9,3.225,288.0,1.75,0.0104059502833484
39,39,40.92252941990566,-73.90072785141508,0,0,0.0,0.0,0.0,0.028125390985557285
40,40,40.58226744089655,-74.09969519855173,29,2,0.0,0.0,0.0,0.002520893037110349
41,41,40.747904805422,-73.93098882705883,68,5,3.3333333333333335,33.0,1.0,0.002613097435710681
42,42,40.825396321199996,-74.2171400464,0,1,0.0,0.0,0.0,0.003441026166737293
43,43,40.701748854228725,-73.92002894537234,44,8,4.115384615384615,23.153846153846153,0.8461538461538461,0.011975917028685858
44,44,40.58596644221239,-73.82202287893807,32,1,0.0,0.0,0.0,0.005408353004157337
45,45,40.70156123622951,-73.7994269407377,53,6,0.0,0.0,0.0,0.0053330451008312095
46,46,40.85818351676923,-74.03544748592306,0,0,0.0,0.0,0.0,0.004907075522543157
47,47,40.7346469864824,-73.70540828145728,0,1,0.0,0.0,0.0,0.008005343821518612
48,48,40.667042307672965,-74.11327295157233,0,3,0.0,0.0,0.0,0.007572193727356126
49,49,40.917034780031955,-74.07167664990416,0,2,0.0,0.0,0.0,0.004973126371966784
50,50,40.88131567480315,-74.10964782492124,0,3,0.0,0.0,0.0,0.006452433046028034
51,51,40.67035155593968,-73.98971056501159,33,3,3.8333333333333335,73.33333333333333,1.5,0.003028061558462187
52,52,40.68815733950311,-74.17691157273292,0,0,0.0,0.0,0.0,0.0009143278211772187
53,53,40.77415896061611,-73.86500372739339,0,1,4.0,22.5,1.0,0.0037291394095330774
54,54,40.76608461253612,-73.91642586035313,23,5,3.480769230769231,46.19230769230769,1.1153846153846154,0.0030433829995431608
55,55,40.767665804049294,-73.78067379894367,0,4,0.0,0.0,0.0,0.005394252389214719
