,neighborhood,lat,lng,subway,competitors,rating,review_count,price,unsupervised_score,uns_rank,rent,half-mile_sub_count
83,83,40.75796983118421,-73.83129387993421,17,35,4.166666666666667,242.0,2.0,0.019743839390226857,4,31.599999999999998,10
9,9,40.7192038700991,-73.99247871168468,38,65,3.643478260869565,257.31304347826085,1.291304347826087,0.013077024526870838,5,91.19899501661126,51
43,43,40.701748854228725,-73.92002894537234,44,8,4.115384615384615,23.153846153846153,0.8461538461538461,0.012386108576098051,6,40.98625000000002,20
38,38,40.74226608840628,-74.00200932451693,51,9,3.225,288.0,1.75,0.010078247042177076,8,41.941638418078966,58
28,28,40.71740927274029,-73.95416082472394,49,8,3.7666666666666666,95.4,1.4333333333333333,0.009790848031192907,9,75.61379310344837,14
