,0
0,0.004133991657480498
1,0.017017942148504737
2,0.0021981811577690604
3,0.003144626142751289
4,0.0015610258299248534
5,0.011322710197189409
6,0.003780574388571241
7,0.0016696083528318696
8,0.01556383595432353
9,0.01422371365183112
10,0.0046872486311890435
11,0.005772982044899238
12,0.0015881376542913647
13,0.0017321614463748705
14,0.0009317618835907629
15,0.0022287243284017984
16,0.002661057238784974
17,0.005328053763422231
18,0.0035526836301670384
19,0.0025303960497313517
20,0.008684024627580323
21,0.003773055675451719
22,0.005882838158485223
23,0.004545739217471323
24,0.005992692643654103
25,0.0015193851732100668
26,0.005572409980792146
27,0.004656326764076143
28,0.0036534417914858017
29,0.002116943024602
30,0.006185136972125934
31,0.005020347562895218
32,0.005104951070361609
33,0.007249689198949664
34,0.006715813307150407
35,0.007058678787172121
36,0.0
37,0.003249076492162315
38,0.004403412708523968
39,0.008497966999795343
40,0.005854721244323894
41,0.0077247405027780335
42,0.003376964781235909
43,0.00957979655718606
44,0.009557109018702409
45,0.0038858599447709414
46,0.00641610112856083
47,0.004525150311717483
48,0.0
49,0.00040641031422938747
50,0.004809487863185416
51,0.005348878828067174
52,0.01055562316222083
53,0.002714784842995859
54,0.06476397604855019
55,0.0105114205230309
56,0.003088222890028883
57,0.004593241409458522
58,0.007433127234787215
59,0.008304876660980889
60,0.008150796537077782
61,0.0018357790886849093
62,0.00361810632626332
63,0.007449028690957148
64,0.003013514743112833
65,0.0074717630248235445
66,0.001189179015735499
67,0.002548799996313289
68,0.0050410651143021875
69,0.0075636986205310985
70,0.009008724414521987
71,0.0021372551127465484
72,0.003216150110013754
73,0.0017748660466920642
74,0.001386994572113073
75,0.0023108149920832884
76,0.005767842515523847
77,0.0027288800400613183
78,0.0
79,0.0017949635619437564
80,0.002640320446554539
81,0.0019489001549991072
82,0.00782999842701251
83,0.009830119390371452
84,0.003236066299369974
85,0.005501244063870962
86,0.0031005300360415055
87,0.005937941172318089
88,0.0013263378744024805
89,0.036722254140999985
90,0.05132528773649606
91,0.005639245471276988
92,0.006546076546225906
93,0.00962745791112959
94,0.010766106649917333
95,0.006796172596843302
96,0.004329840750268937
97,0.0097910050745302
98,0.004321757081602703
99,0.0039012459162109667
100,0.005280608096455384
101,0.0038496846609773734
102,0.0032381010596315494
103,0.00359091320341112
104,0.0045303148992190375
105,0.008716278787953773
106,0.006330215411372964
107,0.004894762601266456
108,0.0037890979285707836
109,0.015047119081618729
110,0.004199708881853121
111,0.00030447281007798274
112,0.0034415125952639986
113,0.0018026124121393238
114,0.039331790242603665
115,0.0035448181680765396
116,0.002308315109157799
117,0.0059894372659613
118,0.004448268197137928
119,0.006429338682384866
120,0.0037222216886342043
121,0.004515214417405768
122,0.002470536922223794
123,0.002881355562283387
124,0.0021285746594430295
125,0.005881803203655012
126,0.0030311586517146956
127,0.0036514829951063785
128,0.0
129,0.0012436190238964606
130,0.002201832433647229
131,0.0007767903216613789
132,0.007389111606382302
133,0.0
134,0.005011079861686146
135,0.0037066821838769733
136,0.005362376943406322
137,0.02703546744654719
138,0.02779663022967592
139,0.0043600811531014985
140,0.0009298076711869428
141,0.0016376481754378782
142,0.00024551800422290974
143,0.002961854821101278
144,0.005510314843067247
145,0.005195409571087507
146,0.005654175062331061
147,0.003964402656161605
148,0.00819911632657256
149,0.01019511148592499
150,0.0028259619544267834
151,0.00041499101196637665
152,0.0
153,0.0017514585119187739
154,0.005074312283396591
155,0.0015346141350469536
156,0.006357637434478024
157,0.0008083367988494836
158,0.004465106179616633
159,0.0025586072416268883
160,0.003103333050869937
161,0.0033622689402190245
162,0.005170156799861119
163,0.0
164,0.0028499939431575394
165,0.0018069877914333127
166,0.003158439261310697
167,0.001720912622120269
168,0.003836813970954099
169,0.02965599208897601
170,0.0020211089304054673
171,0.006551506187392442
172,0.003549831076348613
173,0.00364586042760959
