,Unnamed: 0,neighborhood,lat,lng,Manhattan,competitors,rating,review_count,rent,unsupervised_score,price,half-mile_sub_count,competitors_rank,half-mile_sub_count_rank,rent_rank,price_rank,unsupervised_score_rank,review_count_rank,rating_rank
2,2,2,40.774801871056106,-73.95932495092408,1,0.9803921568627452,0.7666666666666667,0.3303353658536585,0.715101087952897,0.033941417619591456,0.24,0.22448979591836726,16,30,22,32,42,43,43
6,6,6,40.724874282038094,-73.99524316428571,1,0.9607843137254902,0.8333333333333333,0.3774771341463415,0.6257865618009555,0.058374649291716436,0.09999999999999998,0.4387755102040816,28,43,23,33,34,10,45
13,13,13,40.82126371859757,-73.9535712372561,1,0.9411764705882352,0.7936507936507937,0.030270034843205576,0.9236049460082044,0.026745755156792086,0.6,0.2040816326530612,9,26,28,2,33,21,25
15,15,15,40.756320492183335,-73.98380735963333,1,0.9411764705882352,0.7654320987654321,0.33553523035230354,0.7459864282861478,0.034413025023834844,0.37777777777777777,1.0,39,8,9,18,21,35,10
29,29,29,40.70619497599415,-74.01240029675441,1,0.9607843137254902,0.6888888888888889,0.12240853658536585,0.7776250199500884,0.03268704538793353,0.3999999999999999,0.8061224489795917,37,35,8,13,24,34,24
31,31,31,40.74038520813449,-74.00512403388285,1,1.0,0.7333333333333333,0.2079268292682927,0.7833534804775892,0.07751759340920829,0.3599999999999999,0.4183673469387755,38,34,18,30,25,3,7
38,38,38,40.778031931401614,-73.98050073466307,1,0.9215686274509804,0.6666666666666666,0.2939024390243903,0.6280281534864006,0.06799169811969169,0.2,0.19387755102040816,12,25,44,7,3,42,12
40,40,40,40.72271758869748,-73.98169191936975,1,0.9607843137254902,0.8271604938271605,0.0926490514905149,0.5577229750787199,0.09040089261868224,0.42222222222222217,0.08163265306122447,14,15,46,1,19,15,11
47,47,47,40.74886667614601,-73.98527413599321,1,0.8235294117647058,0.7777777777777777,0.4311737804878049,0.5359318863998819,0.06987140981469718,0.29999999999999993,0.9693877551020408,7,11,2,14,29,20,5
51,51,51,40.865997964514285,-73.92325055765714,1,0.9803921568627452,0.6111111111111109,0.006097560975609756,0.7719637230838852,0.08259034040864628,0.8,0.22448979591836726,31,27,7,44,30,19,31
56,56,56,40.79517800197044,-73.96933872039409,1,0.9411764705882352,0.6888888888888889,0.19870426829268287,0.6512379526636133,0.047684269534560425,0.34,0.1530612244897959,44,19,29,41,31,17,19
62,62,62,40.75282196031579,-73.97564023706767,1,0.8823529411764706,0.6752136752136751,0.2949108818011257,0.7549604054545487,0.055866031504165435,0.3538461538461538,0.520408163265306,40,39,11,9,14,8,21
75,75,75,40.742774499420854,-73.99123991158301,1,0.9803921568627452,0.7555555555555555,0.18506097560975607,0.6551796929763106,0.03568056090859818,0.2,0.8673469387755102,18,21,13,38,5,47,30
81,81,81,40.759015718476185,-73.99074157780953,1,0.9019607843137256,0.7301587301587301,0.5282012195121951,0.8544081769410417,0.030092348770219386,0.25714285714285723,0.7244897959183673,15,29,26,36,1,24,37
87,87,87,40.789529048515625,-73.94756894832031,1,0.9215686274509804,0.7288888888888888,0.0326219512195122,0.8581098614253537,0.09168586511530302,0.5519999999999999,0.14285714285714285,27,20,1,27,4,31,15
90,90,90,40.71593395942363,-73.9972345625072,1,0.0,0.8079772079772081,0.3805190744215135,0.71585750969497,0.7924974788147682,0.4974358974358975,0.4183673469387755,17,7,16,31,36,5,14
101,101,101,40.764625586897814,-73.95754960010949,1,0.9215686274509804,0.7444444444444445,0.08323170731707318,0.7339796862235226,0.05944175907438826,0.52,0.19387755102040816,46,17,47,11,13,45,35
110,110,110,40.762040470289115,-73.97650259562926,1,0.9215686274509804,0.7777777777777777,1.0,0.5586511625208146,0.06484637198162163,0.1428571428571428,0.9897959183673468,47,42,17,12,26,25,6
113,113,113,40.85179916540881,-73.93288728188679,1,0.9803921568627452,0.7037037037037036,0.07977642276422765,0.866276742040489,0.02783356616011344,0.6,0.16326530612244894,11,47,24,6,11,27,29
119,119,119,40.83220549636364,-73.9449798789091,1,0.9803921568627452,0.8148148148148148,0.036585365853658534,0.9161778102714964,0.09927337811324498,0.6,0.18367346938775508,45,3,4,46,38,30,42
129,129,129,40.8081856994,-73.94788787091998,1,1.0,0.7171717171717171,0.014550997782705096,0.881049779216785,0.01920232666018195,0.6,0.18367346938775508,4,28,45,22,12,13,22
134,134,134,40.73559573207679,-73.99097674497379,1,0.9607843137254902,0.7407407407407406,0.5638973577235774,0.0,0.07737449377613258,0.3666666666666667,0.6326530612244897,3,1,12,39,47,39,17
147,147,147,40.72902759319728,-74.00676840880952,1,0.9607843137254902,0.7777777777777777,0.22179878048780488,0.5125942172785332,0.06121308322993785,0.3999999999999999,0.2755102040816326,8,10,32,4,2,11,38
155,155,155,40.708252521892646,-74.0059655608192,1,0.9803921568627452,0.654320987654321,0.11771680216802168,0.7413151832703758,0.02369548981823681,0.5111111111111111,0.979591836734694,22,23,33,40,17,6,13
167,167,167,40.74934764645418,-74.00462251394424,1,0.9607843137254902,0.6111111111111109,0.15091463414634146,0.882430762267829,0.02657206563152006,0.6,0.13265306122448978,23,32,10,26,23,26,36
184,184,184,40.7310539006391,-73.98040766548874,1,1.0,0.7777777777777777,0.21087398373983746,0.6786951450902559,0.044301489432793294,0.3999999999999999,0.08163265306122447,5,41,5,47,27,38,47
186,186,186,40.80558236658088,-73.962519445,1,0.9215686274509804,0.7851851851851851,0.1613821138211382,0.8434499045497004,0.06366874147848295,0.3333333333333333,0.1530612244897959,25,38,38,23,41,40,4
