,Unnamed: 0,neighborhood,lat,lng,Manhattan,competitors,rating,review_count,rent,unsupervised_score,price,half-mile_sub_count,competitors_rank,half-mile_sub_count_rank,rent_rank,price_rank,unsupervised_score_rank,review_count_rank,rating_rank
187,187,187,40.719389396169724,-73.98851240729358,1,0.7843137254901961,0.8164251207729468,0.5250530222693531,0.5237871429317442,0.09785353011166263,0.4608695652173914,0.21428571428571427,2,6,6,5,18,29,1
195,195,195,40.7852427977931,-73.97538524975863,1,0.9803921568627452,0.735042735042735,0.21646341463414634,0.6512379526636133,0.0285287796881107,0.4461538461538461,0.18367346938775508,36,16,40,45,40,23,41
199,199,199,40.76088301850203,-73.99816703983805,1,1.0,0.7222222222222222,0.16996951219512196,0.8282068689400657,0.02944379756279863,0.2,0.040816326530612235,43,44,41,8,35,37,40
200,200,200,40.741481662351546,-73.99754406790974,1,0.9215686274509804,0.7037037037037036,0.12118902439024393,0.8590004699984328,0.03007920244487462,0.3333333333333333,0.7448979591836734,35,2,30,29,7,7,39
205,205,205,40.766691983825496,-73.96799229741609,1,0.9803921568627452,0.7777777777777777,0.4748475609756098,0.7650007833307214,0.07444270698662972,0.0,0.32653061224489793,33,40,27,37,9,12,26
220,220,220,40.722703191978944,-74.00180272785262,1,0.9803921568627452,0.8888888888888888,0.4085365853658537,0.7691785471826202,0.01717714078736327,0.0,0.6326530612244897,1,46,36,28,39,1,18
231,231,231,40.7994231911236,-73.9370540335955,1,1.0,0.8024691358024691,0.029302168021680213,0.881049779216785,0.013581219458902994,0.4666666666666667,0.11224489795918366,29,12,14,34,32,4,9
233,233,233,40.82203268027523,-73.93869736981651,1,0.9803921568627452,0.7333333333333333,0.015548780487804878,0.9161778102714964,0.06690493104459244,0.6,0.11224489795918366,20,33,15,16,43,2,32
244,244,244,40.76303092422846,-73.98490340753507,1,0.9607843137254902,0.7619047619047619,0.5504500580720094,0.8450745904921052,0.03510867642653809,0.3142857142857143,0.8877551020408162,19,22,37,24,22,16,23
254,254,254,40.75142441114754,-73.99233945735885,1,0.8823529411764706,0.7222222222222222,0.22332317073170727,0.8590004699984328,0.08187296749898522,0.45,0.8673469387755102,13,14,31,17,6,33,27
256,256,256,40.757912256785715,-73.96816611193609,1,0.8823529411764706,0.7539682539682541,0.21265243902439024,0.782408132713631,0.051084249114889735,0.29999999999999993,0.3775510204081632,10,31,42,15,37,46,3
261,261,261,40.77818807904136,-73.95144404099624,1,0.8431372549019608,0.7777777777777777,0.1879011553273428,0.8868522290110881,0.07364079659292375,0.3684210526315788,0.16326530612244894,32,5,19,35,10,9,34
264,264,264,40.74100429544643,-73.98396474363841,1,0.9215686274509804,0.7777777777777777,0.2137004573170732,0.8241857712326137,0.06509455832487464,0.3999999999999999,0.4591836734693877,24,45,43,25,46,32,16
265,265,265,40.76995200891247,-73.98453546912467,1,1.0,0.7777777777777777,0.6125,0.8265067511503349,0.06397799036154687,0.2799999999999999,0.3469387755102041,34,37,21,20,44,28,20
273,273,273,40.84385316775,-73.94022344116667,1,1.0,0.7407407407407406,0.03150406504065041,0.866276742040489,0.007596921577541826,0.6,0.19387755102040816,30,13,34,21,8,14,28
275,275,275,40.872606969659095,-73.91062812886364,1,0.9607843137254902,0.0,0.0,0.8711856145664695,0.07553009890572443,1.0,0.061224489795918366,26,36,25,42,15,36,8
277,277,277,40.728690586025635,-73.98776317532969,1,0.9215686274509804,0.8279569892473119,0.6961054287962234,0.5719300688750775,0.08885269474878657,0.2645161290322581,0.42857142857142855,21,9,39,3,28,22,44
292,292,292,40.71586148539759,-74.00939884419276,1,0.9411764705882352,0.5308641975308642,0.14803523035230354,0.7482897279231282,0.10110512071861676,0.42222222222222217,0.8163265306122448,41,24,20,19,20,41,2
293,293,293,40.73206888314236,-74.00073194265623,1,0.9411764705882352,0.8692810457516341,0.4141857962697274,0.5958013473288408,0.08545536862798588,0.3647058823529411,0.4693877551020408,42,18,35,10,45,44,46
295,295,295,40.74429538027356,-73.97715336650454,1,0.9411764705882352,0.7654320987654321,0.10873983739837398,0.7336675544414841,0.056899812790375925,0.3999999999999999,0.19387755102040816,6,4,3,43,16,18,33
