name,price,rating,zip code,review count,categories,
Dim Sum Palace,$$,4.0,10036,493,['dimsum', 'cantonese']
Wah Fung No 1,$,4.5,10002,819,['chinese', 'hotdogs']
Tasty Garden,$,5.0,10009,16,['dimsum', 'noodles']
Peng's Noodle Folk,$$,4.5,10028,174,['chinese', 'noodles', 'ramen']
Zest Szechuan,$$,4.0,10018,240,['szechuan', 'seafood', 'soup']
Tuome,$$$,4.5,10009,290,['newamerican', 'chinese']
Shu Jiao Fu Zhou Cuisine Restaurant,$,4.5,10002,387,['chinese', 'noodles']
China Jade,$$,4.5,10028,19,['chinese']
China Xiang,$$,4.0,10036,235,['chinese']
Han Dynasty,$$,4.0,10024,339,['szechuan']
Han Dynasty,$$,4.0,10003,904,['szechuan', 'bars']
Xi'an Famous Foods,$,4.0,10075,344,['chinese', 'noodles', 'burgers']
Café China,$$,4.0,10016,867,['szechuan']
Xi'an Famous Foods,$,4.0,10036,1169,['chinese', 'burgers', 'noodles']
Szechuan Garden,$$,4.0,10025,159,['szechuan']
Jasmine Restaurant,$$,4.0,10017,104,['shanghainese', 'dimsum', 'szechuan']
Tri Dim Shanghai,$$,4.0,10075,86,['shanghainese', 'dimsum', 'szechuan']
Auntie Guan's Kitchen 108,$$,4.0,10011,234,['chinese', 'asianfusion']
Excellent Dumpling House,$$,4.0,10011,222,['dimsum', 'seafood', 'soup']
Xi'an Famous Foods,$,4.0,10016,440,['chinese', 'noodles', 'burgers']
La Salle Dumpling Room,$$,4.0,10023,36,['chinese']
Chaan Teng,$$,4.0,10036,108,['chinese']
Burp Bowl Cafe,$,4.5,10010,104,['chinese', 'noodles', 'soup']
Shanghai,$,4.0,10021,57,['chinese']
Radiance Tea House and Books,$$,4.0,10019,748,['asianfusion', 'tea', 'chinese']
Joe's Shanghai,$$,4.0,10013,4596,['shanghainese', 'desserts', 'seafood']
Xi'an Famous Foods,$$,4.0,10019,195,['noodles', 'burgers', 'chinese']
Buddakan,$$$,4.0,10011,3216,['chinese', 'asianfusion']
Noodle Fun,$$,4.0,10128,100,['chinese', 'noodles']
China Blue,$$,4.0,10013,389,['shanghainese', 'dimsum']
Very Fresh Noodles,$$,4.0,10011,289,['taiwanese', 'chinese', 'noodles']
Xi'an Famous Foods,$,4.0,10003,1394,['chinese', 'noodles', 'burgers']
Asura Asian Bistro,$$,4.0,10001,248,['chinese', 'asianfusion', 'bars']
Pig Heaven,$$,4.0,10028,177,['bbq', 'chinese']
Hunan Bistro,$$,4.0,10003,144,['chinese']
MáLà Project,$$,4.0,10009,298,['seafood', 'dimsum', 'chicken_wings']
Decoy,$$$,4.0,10014,245,['chinese', 'bars']
Fishmarket Restaurant,$$,4.5,10038,380,['seafood', 'chinese', 'asianfusion']
Joe's Shanghai,$$,3.5,10019,1158,['shanghainese']
Lam Zhou Handmade Noodle & Dumpling,$,4.0,10013,1168,['chinese', 'noodles', 'ramen']
Uncle Ted's Modern Chinese Cuisine,$$,4.0,10012,345,['chinese']
Niu Noodle House,$$,4.0,10014,524,['chinese', 'asianfusion', 'noodles']
Flor De Mayo,$$,4.0,10024,983,['chinese', 'peruvian', 'spanish']
