address,price,zipcode
7811 Atlantic Ave,$12.00 USD,11421
238 Lindbergh Pl,$7.00 USD,07503
531-535 E Tremont Ave,NA,10457
3768 Nostrand Ave,$70.00 USD,11235
555 Dekalb Ave,NA,11205
737 Yonkers Ave,$18.48 USD,10704
188 Grand St,$85.00 USD,11211
2619 Emmons Ave,$35.00 USD,11235
2017 86th St,$24.00 USD,11214
533 Clove Rd,NA,10310
1197 Clove Rd,NA,10301
8811 Springfield Blvd,$44.89 - $58.00 USD,11427
108 W 116th St,$55.33 USD,10026
256 Harrison Ave,$12.00 USD,07644
227-239 W 17th St,$40.00 - $60.00 USD,10011
88 1/2 7th Ave,$174.99 USD,10011
51 Murray St,NA,10007
145 Smith St,$96.00 USD,11201
547 Delancy St,$2.34 USD,07105
11562 Sutphin Blvd,$24.00 USD,11434
114-120 Seaview Dr,$8.25 USD,07094
13 Division St,$7.95 USD,07022
233 Nevins St,NA,11217
239 Nevins St,NA,11217
215 Gates Rd,$15.36 - $15.60 USD,07643
200 Ikea Dr,NA,07652
7414-7418 13th Ave,$42.00 USD,11228
411 Ninth Ave,NA,10001
1150 Dickinson St,$23.00 - $24.50 USD,07201
152 Allen St,$90.00 USD,10002
19-19 24th Ave,$32.00 USD,11102
20 Meadow St,$30.24 USD,11206
384 Knickerbocker Ave,NA,11237
965 Nepperhan Ave,$16.00 USD,10703
1932 Jerome Ave,NA,10453
3160 Webster Ave,NA,10467
1827 42nd St,$18.00 USD,11105
248 W 35th St,$38.00 USD,10001
81 Willoughby St,$38.00 USD,11201
1727 Second Ave,NA,10128
181 Menahan St,$45.00 USD,11237
1351 Forest Ave,NA,10302
161 Kings Hwy,$25.00 USD,11223
341 E 78th St,$110.00 USD,10075
107 Trumbull St,$4.50 - $5.50 USD,07206
571-579 Mcdonald Ave,$34.00 USD,11218
101 Thompson St,$142.50 USD,10012
151 Orchard St,$85.00 USD,10002
192 Bleecker St,$162.86 USD,10012
683-685 Main St,$20.57 USD,07601
623 Ridge Rd,$12.00 - $15.00 USD,07071
500 Nordhoff Pl,$13.04 USD,07631
133 Grand St,$65.00 USD,10013
209 Underhill Ave,$30.00 USD,11238
566 7th Ave,NA,10018
76-20 31st Ave,$28.00 USD,11370
56-01 Maspeth Ave,NA,11378
7 Gramercy Park W,NA,10003
138 Wooster St,NA,10012
761-773 Lydig Ave,$44.05 USD,10462
39-41 E Broadway,$85.71 - $101.54 USD,10002
47-09 30th St,$25.00 - $30.00 USD,11101
131 Main St,$20.00 USD,07601
105 Graham St,$25.86 USD,07307
362-372 2nd Ave,NA,10010
80 Pine St,$175.00 USD,10005
160 W Sandford Blvd,$25.71 USD,10550
4416 Broadway,$50.00 USD,11103
65 Irving Ave,$66.00 USD,11237
3802 34th St,$37.50 USD,11101
243 Northern Blvd,$60.00 USD,11021
280 Madison Ave,NA,10016
24 Greenpoint Ave,$25.00 USD,11222
342-344 E 6th St,$84.00 USD,10003
38 Avenue B,$213.00 USD,10009
75 Second Ave,$111.84 USD,10003
1466 1st Ave,$98.40 USD,10075
384 Liberty Ave,$35.55 USD,11207
494 Eighth Ave,NA,10001
360-362 Jericho Tpke,$36.00 USD,11001
10 W 66th St,$93.00 USD,10023
193 Ashburton Ave,$1.00 - $22.29 USD,10701
882-884 First Ave,$90.00 USD,10022
2191 Third Ave,$25.41 USD,10035
730 Broad St,$18.00 USD,07102
937 Van Duzer St,$27.87 USD,10304
125 Amity St,$2.62 USD,07304
114 Amity St,$2.54 USD,07304
95 Powell St,$18.72 USD,11212
40-54 Grafton Ave,$6.25 USD,07104
77 Second Ave,$199.00 - $226.00 USD,10003
1524-1526 Bushwick Ave,NA,11207
523-533 Nepperhan Ave,$40.00 USD,10703
112 Brunswick St,$43.00 USD,07302
3 W 30th St,$52.80 USD,10001
12 W 29th St,$60.00 - $72.00 USD,10001
196 Albany Ave,$30.00 USD,11213
381 S 5th St,NA,11211
315 Fifth Ave,$47.20 USD,10016
40 W 37th St,$57.00 - $64.24 USD,10018
13122 Avery Ave,$35.00 USD,11355
142-144 Joralemon St,NA,11201
265-269 W 37th St,$45.00 USD,10018
1 12th St,NA,11215
131-10 Avery Ave,$35.00 USD,11355
156-02 Liberty Ave,$11.00 USD,11433
189-193 Willow Ave,NA,10454
1122 Ocean Ave,$41.06 USD,11230
2403 3rd Ave,$26.40 USD,10451
127 Valley Rd,$32.50 USD,07042
285 W Broadway,$66.00 USD,10013
4501 Park Ave,NA,07087
9313 Ditmas Ave,NA,11236
101-105 Norfolk St,NA,10002
314-324 Knickerbocker Ave,$60.00 USD,11237
768 Madison Ave,$193.85 USD,10065
652 Tenth Ave,$176.00 USD,10036
88 Waterbury St,$25.00 USD,11206
206 Bay St,NA,10301
387 Port Richmond Ave,NA,10302
3879 13th St,NA,11101
1 Harmon Plz,NA,07094
503 E 6th St,$49.41 USD,10009
1109 Main Ave,$24.92 USD,07011
1933 Fulton St,$23.33 USD,11233
