,address,lat,lng,price
112,111-20 Jamaica Ave,40.689299,-73.874054,30.00
113,111 58th St,40.6460639,-74.0232487813663,22.00
114,1120 Avenue of the Americas,40.7554679,-73.9831832,144.00
115,23-10 30th Ave,40.7715045,-73.9312952,22.22
116,50 Harrison St,40.6238259,-74.0761104595598,45.00
117,470 Nepperhan Ave,40.939555,-73.8860862,25.00
118,143 E 149th St,40.6981552,-73.8033694,54.00
119,54 W 47th St,40.7574905,-73.9808606,59.00
120,151 E 80th St,40.7756319,-73.9581229,205.63
121,40 Park St,40.56873695,-74.1273029820281,30.00
122,930 Sheridan Ave,40.8276079,-73.9203163,38.33
123,1847 Victory Blvd,40.61319985,-74.1251594842398,21.33
124,728 E 136th St,40.8030231,-73.9127609,20.00
125,31 South St,40.63369605,-74.1154921735306,20.00
126,325 W 38th St,40.755447,-73.992683025,44.57
127,35 Meadow St,40.7109575,-73.9357757,40.00
128,1247 Atlantic Ave,40.6787053,-73.94924575,120.00
129,465 Central Ave,40.964978,-72.851596,23.54
130,324-326 E 95th St,40.7848976,-73.9507864,55.00
131,22-14 37th Ave,40.759762,-73.94081,22.00
132,367 Bedford Ave,40.7113081,-73.963185,38.18
133,327 E 94th St,40.7824801,-73.9466784,40.00
134,1565 62nd St,40.62420125,-73.9934682130607,36.00
135,418 E 75th St,40.7691715,-73.9538216348374,95.00
136,17-10 Utopia Pky,40.7822683,-73.7944458,34.80
